user_id,Age,Gender,Occupation,Education Qualification,Monthly Income,Region,product_id,Top_Selling_Item,Feature,Feedback_Text,Sentiment,Sentiment_Score,Customer_Rating,Seasonal_Preference,Cuisine_Preference,Repeat_Purchase_Item,Preferred_Price_Range,Trend_Forecast,Latitude,Longitude
U1000,28,Male,Engineer,Graduate,Below 10000,North,P100,Hot Soup,Taste,Could be better.,Neutral,0.4,3,Summer: Ice Cream/Softdrinks,Chinese,Burger,<100,Regional Recipes,28.6139,77.209
U1001,34,Female,Analyst,Doctorate,10000-20000,Metro,P101,Sandwich,Packaging,Packaging was poor.,Negative,0.17,1,Cold: Hot/Spicy,Street Food,Hot Soup,400-600,Gluten-Free Products,17.385,78.4867
U1002,25,Female,Engineer,Intermediate,Above 60000,North,P102,Biryani,Availability,Satisfied with my purchase.,Positive,0.77,5,Summer: Ice Cream/Softdrinks,Street Food,Biryani,<100,Regional Recipes,28.6139,77.209
U1003,18,Female,Developer,Graduate,40000-60000,East,P103,Hot Soup,Packaging,Could be better.,Neutral,0.47,3,Summer: Ice Cream/Softdrinks,Chinese,Sandwich,200-400,Regional Recipes,22.5726,88.3639
U1004,18,Male,Student,Intermediate,No Income,West,P104,Biryani,Packaging,Average experience.,Neutral,0.59,3,Summer: Ice Cream/Softdrinks,Chinese,Spicy Noodles,100-200,Street Food Revival,19.076,72.8777
U1005,18,Male,Developer,Intermediate,40000-60000,East,P105,Ice Cream,Taste,Too expensive.,Negative,0.39,2,Cold: Hot/Spicy,North Indian,Salad,100-200,Regional Recipes,22.5726,88.3639
U1006,30,Female,Engineer,Intermediate,Above 60000,West,P106,Ice Cream,Packaging,Packaging was poor.,Negative,0.26,1,Cold: Hot/Spicy,Chinese,Sandwich,<100,Regional Recipes,19.076,72.8777
U1007,22,Male,Student,Intermediate,40000-60000,Metro,P107,Hot Soup,Packaging,Good quality product.,Positive,0.81,4,Cold: Hot/Spicy,South Indian,Hot Soup,100-200,Plant-based Meat,17.385,78.4867
U1008,34,Male,Teacher,Postgraduate,20000-40000,South,P108,Burger,Price,Okay product.,Neutral,0.43,3,Cold: Hot/Spicy,South Indian,Pizza,100-200,Gluten-Free Products,12.9716,77.5946
U1009,45,Male,Engineer,Intermediate,40000-60000,Metro,P109,Salad,Packaging,Loved the taste!,Positive,0.66,5,Summer: Ice Cream/Softdrinks,Street Food,Burger,>600,Plant-based Meat,17.385,78.4867
